Memory Length,250,
Trigger Level,0.000E+00,
Source,FFT,
Vertical Units,dB,
Vertical Scale,2.000E+01,
Vertical Position,0.000000E+00,
Horizontal Units,Hz,
Horizontal Scale,4.000E+05,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
Sampling Period,1.600E+04,
Firmware, V1.14,
Waveform Data,
-36,
-24,
-26,
-52,
-62,
-61,
-64,
-76,
-85,
-81,
-76,
-71,
-87,
-70,
-75,
-83,
-71,
-81,
-101,
-78,
-86,
-83,
-79,
-80,
-83,
-88,
-79,
-89,
-78,
-80,
-97,
-74,
-89,
-92,
-79,
-86,
-85,
-92,
-83,
-85,
-92,
-85,
-88,
-83,
-88,
-88,
-85,
-88,
-88,
-90,
-85,
-87,
-85,
-87,
-92,
-85,
-85,
-92,
-87,
-85,
-88,
-83,
-87,
-88,
-92,
-97,
-83,
-90,
-93,
-93,
-89,
-90,
-92,
-89,
-87,
-92,
-86,
-97,
-83,
-92,
-93,
-86,
-93,
-92,
-92,
-86,
-97,
-85,
-101,
-82,
-89,
-85,
-92,
-86,
-87,
-92,
-90,
-88,
-85,
-88,
-87,
-97,
-87,
-93,
-87,
-97,
-90,
-86,
-101,
-90,
-92,
-88,
-85,
-101,
-88,
-92,
-88,
-88,
-87,
-87,
-97,
-83,
-101,
-85,
-97,
-87,
-85,
-93,
-101,
-88,
-101,
-92,
-101,
-86,
-101,
-93,
-92,
-89,
-101,
-92,
-92,
-97,
-92,
-92,
-97,
-97,
-92,
-93,
-92,
-93,
-92,
-92,
-101,
-87,
-101,
-101,
-97,
-88,
-101,
-89,
-97,
-89,
-97,
-101,
-93,
-88,
-97,
-88,
-97,
-97,
-89,
-93,
-101,
-89,
-93,
-89,
-97,
-88,
-93,
-90,
-92,
-101,
-92,
-101,
-92,
-97,
-101,
-90,
-89,
-92,
-101,
-89,
-97,
-101,
-101,
-101,
-89,
-101,
-101,
-101,
-97,
-101,
-93,
-92,
-86,
-93,
-93,
-101,
-89,
-88,
-93,
-86,
-97,
-97,
-92,
-89,
-101,
-101,
-92,
-90,
-97,
-93,
-93,
-90,
-97,
-88,
-101,
-92,
-101,
-90,
-97,
-93,
-101,
-89,
-101,
-88,
-101,
-92,
-101,
-86,
-92,
-101,
-101,
-92,
-97,
-90,
-97,
-88,
-97,
-97,
